PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34864873","Graph2MDA: a multi-modal variational graph embedding model for predicting microbe-drug associations","Deng L, Huang Y, Liu X, Liu H.","Bioinformatics. 2022 Jan 27;38(4):1118-1125. doi: 10.1093/bioinformatics/btab792.","Deng L","Bioinformatics","2022","2021/12/05","","","10.1093/bioinformatics/btab792"
"35752000","Weakly supervised deep learning for prediction of treatment effectiveness on ovarian cancer from histopathology images","Wang CW, Chang CC, Lee YC, Lin YJ, Lo SC, Hsu PC, Liou YA, Wang CH, Chao TK.","Comput Med Imaging Graph. 2022 Jul;99:102093. doi: 10.1016/j.compmedimag.2022.102093. Epub 2022 Jun 16.","Wang CW","Comput Med Imaging Graph","2022","2022/06/25","","","10.1016/j.compmedimag.2022.102093"
"38269610","Multi-scale topology and position feature learning and relationship-aware graph reasoning for prediction of drug-related microbes","Xuan P, Gu J, Cui H, Wang S, Toshiya N, Liu C, Zhang T.","Bioinformatics. 2024 Feb 1;40(2):btae025. doi: 10.1093/bioinformatics/btae025.","Xuan P","Bioinformatics","2024","2024/01/25","PMC10868329","","10.1093/bioinformatics/btae025"
"37000044","Improved GNNs for Log D(7.4) Prediction by Transferring Knowledge from Low-Fidelity Data","Duan YJ, Fu L, Zhang XC, Long TZ, He YH, Liu ZQ, Lu AP, Deng YF, Hsieh CY, Hou TJ, Cao DS.","J Chem Inf Model. 2023 Apr 24;63(8):2345-2359. doi: 10.1021/acs.jcim.2c01564. Epub 2023 Mar 31.","Duan YJ","J Chem Inf Model","2023","2023/03/31","","","10.1021/acs.jcim.2c01564"
"34112777","Algebraic graph-assisted bidirectional transformers for molecular property prediction","Chen D, Gao K, Nguyen DD, Chen X, Jiang Y, Wei GW, Pan F.","Nat Commun. 2021 Jun 10;12(1):3521. doi: 10.1038/s41467-021-23720-w.","Chen D","Nat Commun","2021","2021/06/11","PMC8192505","","10.1038/s41467-021-23720-w"
"32009951","DeepMalaria: Artificial Intelligence Driven Discovery of Potent Antiplasmodials","Keshavarzi Arshadi A, Salem M, Collins J, Yuan JS, Chakrabarti D.","Front Pharmacol. 2020 Jan 15;10:1526. doi: 10.3389/fphar.2019.01526. eCollection 2019.","Keshavarzi Arshadi A","Front Pharmacol","2020","2020/02/04","PMC6974622","","10.3389/fphar.2019.01526"
"34995441","Predicting Solute Descriptors for Organic Chemicals by a Deep Neural Network (DNN) Using Basic Chemical Structures and a Surrogate Metric","Zhang K, Zhang H.","Environ Sci Technol. 2022 Feb 1;56(3):2054-2064. doi: 10.1021/acs.est.1c05398. Epub 2022 Jan 7.","Zhang K","Environ Sci Technol","2022","2022/01/07","","","10.1021/acs.est.1c05398"
"32286824","Improvement in ADMET Prediction with Multitask Deep Featurization","Feinberg EN, Joshi E, Pande VS, Cheng AC.","J Med Chem. 2020 Aug 27;63(16):8835-8848. doi: 10.1021/acs.jmedchem.9b02187. Epub 2020 May 12.","Feinberg EN","J Med Chem","2020","2020/04/15","","","10.1021/acs.jmedchem.9b02187"
"33533614","Large-Scale Modeling of Multispecies Acute Toxicity End Points Using Consensus of Multitask Deep Learning Methods","Jain S, Siramshetty VB, Alves VM, Muratov EN, Kleinstreuer N, Tropsha A, Nicklaus MC, Simeonov A, Zakharov AV.","J Chem Inf Model. 2021 Feb 22;61(2):653-663. doi: 10.1021/acs.jcim.0c01164. Epub 2021 Feb 3.","Jain S","J Chem Inf Model","2021","2021/02/03","PMC8780008","NIHMS1769818","10.1021/acs.jcim.0c01164"
"34251213","MolGpka: A Web Server for Small Molecule pK(a) Prediction Using a Graph-Convolutional Neural Network","Pan X, Wang H, Li C, Zhang JZH, Ji C.","J Chem Inf Model. 2021 Jul 26;61(7):3159-3165. doi: 10.1021/acs.jcim.1c00075. Epub 2021 Jul 12.","Pan X","J Chem Inf Model","2021","2021/07/12","","","10.1021/acs.jcim.1c00075"
"34146224","QSAR modeling without descriptors using graph convolutional neural networks: the case of mutagenicity prediction","Hung C, Gini G.","Mol Divers. 2021 Aug;25(3):1283-1299. doi: 10.1007/s11030-021-10250-2. Epub 2021 Jun 19.","Hung C","Mol Divers","2021","2021/06/19","","","10.1007/s11030-021-10250-2"
"35475611","Graph Attention Network Model with Defined Applicability Domains for Screening PBT Chemicals","Wang H, Wang Z, Chen J, Liu W.","Environ Sci Technol. 2022 May 17;56(10):6774-6785. doi: 10.1021/acs.est.2c00765. Epub 2022 Apr 27.","Wang H","Environ Sci Technol","2022","2022/04/27","","","10.1021/acs.est.2c00765"
